tag_name,terms,defs
2020-04-20,10041,7193
v2016-03-11,6877,2691
v2016-03-18,6878,2692
v2016-03-25,6878,2692
v2016-04-01,6919,2701
v2016-04-08,6919,2701
v2016-05-06,6920,2702
v2016-05-23,6930,2712
v2016-06-17,6931,2713
v2016-07-01,6931,2713
v2016-07-08,6935,2716
v2016-08-12,6965,2753
v2016-09-23,7305,3094
v2016-09-26,7305,3102
v2016-09-30,7416,3212
v2016-10-21,7427,3226
v2016-11-04,7519,3319
v2016-11-18,7688,3488
v2016-11-22,7688,3488
v2016-12-09,7691,3498
v2016-12-16,7805,3614
v2017-01-09,7804,3613
v2017-01-13,7804,3613
v2017-01-27,7851,3660
v2017-02-17,8013,3825
v2017-03-10,8234,4046
v2017-04-13,8238,4052
v2017-05-05,8450,4275
v2017-05-24,8497,4322
v2017-06-13,8498,4324
v2017-07-14,8506,4336
v2017-11-28,8513,4346
v2017-9-29,8512,4343
v2018-03-02,8698,4549
v2018-05-11,8791,4574
v2018-05-15,8795,4578
v2018-06-21,8901,5260
v2018-06-25,8901,5260
v2018-06-29,8901,5260
v2018-07-03,8905,5269
v2018-07/05,8905,5269
v2018-09-07,9068,5643
v2018-09-07.2,9068,5643
v2018-09-10,9068,5642
v2018-09-10v2,9068,5642
v2018-09-13,9068,5642
v2018-09-25,9079,5655
v2018-10-05,9092,5682
v2018-10-11,9092,5682
v2018-10-24,9094,5685
v2018-11-02,9095,5685
v2018-12-14,9113,5702
v2018-12-17,9113,5702
v2018-6-20,8901,5260
v2019-02-21,9232,6102
v2019-03-01,9233,6118
v2019-04-18,9262,6158
v2019-04-18v2,9262,6158
v2019-05-13,9268,6166
v2019-06-28,9358,6341
v2019-07015,9384,6372
v2019-09-16,9506,6499
v2019-10-30,9654,6652
v2019-11-20,9654,6652
v2019-11-20_v2,9690,6696
v2019-12-12,9690,6696
v2019-8-06,9423,6414
v2019-8-22,9480,6472
v2020-01-14,9690,6696
v2020-01-15,9749,6760
v2020-02-04,9749,6760
v2020-02-18,9870,6902
v2020-02-19,9871,6903
v2020-02-19v2,9871,6903
v2020-03-05,9909,6963
v2020-03-18,9949,7080
v2020-03-20,9955,7089
v2020-04-01,10012,7162
v2020-04-03,10012,7162
v2020-05-20,10086,7244
v2020-06-18,10151,7417
v2020-07-23,10194,7472
v2020-08-21,10334,7630
v2020-09-15,10347,7654
v2020-09-28,10394,7713
v2020-10-15,10479,7853
v2020-11-03,10530,7905
v2020-11-11,10533,7916
v2020-12-02,10560,7955
v2020-12-21,10598,7995
v2020-12-22,10598,7996
v2021--6-08,10844,8292
v2021-01-28,10648,8048
v2021-02-24,10671,8089
v2021-03-29,10727,8163
v2021-04-29,10791,8230
v2021-06-03,10841,8288
v2021-07-29,10855,8305
v2021-08-17,10862,8312
v2021-08-17v2,10862,8312
v2021-09-30,10869,8334
v2021-10-11,10880,8345
v2021-11-16,10901,8377
v2021-11-17,10901,8377
vv2016-06-10,6934,2713
v2021-12-15,10900,8395
v2022-01-31,10902,8419
v2022-02-21,10924,8444
